Date,Northwest Europe Marker Price,US Central Appalachian Coal Spot Price Index,Japan Coking Coal Import CIF Price,Japan Steam Coal Import CIF Price,Asian Marker Price
2021-12-31,121.69980769230766,68.53814227926651,155.41083333333333,153.54633333333334,134.85984304577434
2020-12-31,50.16426923076923,42.76636996982601,69.005,83.09520833333335,108.41
2019-12-31,60.85524999999997,57.16398379006199,85.47811526819923,85.8911013678197,148.51833333333335
2018-12-31,91.82705769230766,72.84401163461538,112.73331235632183,99.44675211959856,158.49249999999998
2017-12-31,84.51041346153846,63.82528980769234,96.0246869666667,94.72347100258668,150.0025
2016-12-31,60.08564743589743,51.447732692307724,71.65796034482759,71.34886254898642,89.39833333333333
2015-12-31,56.79403846153845,51.566441923076916,60.09588333333335,67.53187948225752,93.84499999999998
2014-12-31,75.38076923076925,67.08414083333335,76.13,84.11642746675791,114.41333333333331
2013-12-31,81.68903846153846,69.7172329411765,90.065,95.41863176337347,140.4466666666667
2012-12-31,92.4996153846154,67.28136607843139,100.29833333333333,111.8897121435553,191.46416666666667
2011-12-31,121.48000000000002,84.75498245098039,126.13083333333337,127.26840109273667,229.1233333333333
2010-12-31,92.4996153846154,67.87412249999997,108.46531666666668,110.07920921928324,158.94583333333333
2009-12-31,70.38884615384615,60.734610192307706,83.58666666666666,87.861704444851,167.8225
2008-12-31,147.67365384615388,117.41764441176473,157.8775,104.97216258084855,179.02666666666664
2007-12-31,88.78519230769233,49.73318235294115,95.58603333333333,61.22782584378276,88.2425
2006-12-31,64.10807692307692,57.81671568627452,65.2175,53.526239931258694,93.4625
2005-12-31,60.53923076923078,70.12235520833333,64.62308333333334,51.341535682019334,89.33
2004-12-31,72.13433962264152,64.90173993055556,74.21583333333334,42.760458735920174,60.96
2003-12-31,43.59788461538461,38.52270579861111,39.61259583333332,31.7443731971024,41.57
2002-12-31,31.649615384615387,33.197984409722224,31.474741666666663,33.19486597604571,42.01333333333334
2001-12-31,39.03423076923077,50.154650000000004,37.689875,31.784010517913995,41.32916666666667
2000-12-31,35.99,29.90448041666667,,27.52109363476392,39.69416666666666
1999-12-31,28.79,31.294297,,,42.830833333333324
1998-12-31,32.0,31.003106083333336,,,50.75666666666665
1997-12-31,38.92,29.76,,,55.51
1996-12-31,41.25,29.86230909090909,,,56.67916666666667
1995-12-31,44.5,27.00635,,,54.468333333333334
1994-12-31,37.18,31.716177272727272,,,51.765
1993-12-31,33.68,29.853958333333335,,,55.258333333333326
1992-12-31,38.53,28.534538636363642,,,57.81583333333334
1991-12-31,42.8,29.01053181818182,,,60.45
1990-12-31,43.48,31.591918000000003,,,60.53666666666666
1989-12-31,42.08,,,,58.68416666666666
1988-12-31,39.94,,,,55.064166666666665
1987-12-31,31.3,,,,53.43916666666666
